12,8,3,2H,N,10,170,
12,6,4,2S,S,8,110,
12,1,7,3H,S,9,140,
17,4,7,3H,N,13,260,
17,3,2,5D,S,13,440,
17,1,6,4DX,S,11,610,
18,1,6,4H,W,11,,450
18,3,2,4H,W,10,,420
18,4,7,3H,W,9,,140
19,4,7,5D,W,8,300,
19,3,2,2N,W,9,,150
19,1,6,2N,W,9,,150
20,3,2,6N,W,13,,1470
20,1,6,6N,E,13,,1470
20,4,7,6N,E,10,200,
21,2,7,3N,S,8,,100
21,4,3,3H,S,11,200,
21,8,6,4HX,S,10,790,
22,2,7,2SX,E,2,1700,
22,4,3,3N,N,12,490,
22,8,6,7N,N,12,,50
23,2,7,3N,W,8,100,
23,4,3,3N,W,7,200,
23,8,6,3N,E,8,100,
24,2,7,3N,N,11,460,
24,4,3,3N,N,10,430,
24,8,6,3N,N,11,460,
25,3,1,3N,S,9,400,
25,6,2,3N,S,9,400,
25,8,7,3N,N,8,,50
26,3,1,4H,S,10,620,
26,6,2,3H,S,11,200,
26,8,7,4H,S,10,620,
27,3,1,2H,W,9,,140
27,7,2,1N,N,7,90,
27,8,6,3S,N,8,,50
28,3,1,4S,S,9,,100
28,6,2,4S,S,10,620,
28,8,7,4S,N,11,650,
16,3,6,3N,N,9,400,
16,8,4,4S,S,9,,50
16,2,1,3S,S,10,170,
15,3,6,3N,E,9,,400
15,8,4,3N,E,10,,430
15,2,1,3N,E,9,,400
14,3,6,4S,W,11,,450
14,8,4,4S,W,11,,450
14,2,1,4S,W,11,,450
13,3,6,4S,E,10,,620
13,8,4,3N,E,13,,720
13,2,1,4H,W,12,,680
1,8,1,2N,S,6,,100
1,4,2,2SX,E,7,100,
1,7,3,3NX,N,5,,800
2,4,2,4S,E,11,,450
2,7,3,4S,E,11,,450
2,8,1,4S,W,11,,450
4,4,2,2S,W,7,100,
4,7,3,3S,W,9,,140
4,8,1,3C,S,8,,100
5,8,2,2S,N,7,,100
5,7,6,4H,W,10,,420
5,1,4,3N,W,9,,400
6,8,2,5D,S,9,,100
6,7,6,2H,N,7,,50
6,1,4,4SX,N,5,,1100
7,8,2,4SX,N,8,,500
7,7,6,4H,W,11,,650
7,1,4,2SX,N,8,670,
8,8,2,3S,W,9,,140
8,7,6,2S,W,8,,110
8,1,4,3S,W,9,,140
9,8,3,4H,W,10,,620
9,1,7,4H,W,10,,620
9,6,4,3N,E,8,100,
11,8,3,3N,S,9,400,
11,1,7,4S,S,10,420,
11,6,4,4S,S,10,420,
10,8,2,6SX,E,12,,1660
10,1,7,2S,E,10,,170
10,6,4,4S,E,11,,650
3,8,1,5S,E,11,,650
3,4,2,4S,E,11,,650
3,7,3,4S,E,12,,680
